timestamp_us,px,py,pz,qw,qx,qy,qz,yaw_imu,yaw_slam
1296982271,0.0599286,-0.00286768,-0.0154387,0.812542,-0.472593,0.112626,-0.322097,0,0
1296995738,0.0592259,-0.00398576,-0.0160296,0.797904,-0.492144,0.119398,-0.326936,0,0
1297013382,0.0583051,-0.00545062,-0.0168037,0.79714,-0.493098,0.119744,-0.327235,0,0
1297017005,0.0581161,-0.00575141,-0.0169627,0.790817,-0.500938,0.1226,-0.329602,0,0
1297025864,0.0576538,-0.00648692,-0.0173514,0.787405,-0.505135,0.124159,-0.330782,0,0
1297035591,0.0571462,-0.00729448,-0.0177782,0.78513,-0.507906,0.125189,-0.331556,0,0
1297044112,0.0567015,-0.00800193,-0.0181521,0.77127,-0.523852,0.13107,-0.33696,0,0
1297052439,0.056267,-0.00869326,-0.0185174,0.771158,-0.523975,0.131116,-0.337006,0,0
1297057893,0.0559823,-0.00914607,-0.0187567,0.768253,-0.527146,0.13233,-0.33822,0,0
1297062467,0.0557437,-0.00952582,-0.0189574,0.766821,-0.528699,0.132925,-0.338813,0,0
1297070011,0.05535,-0.0101521,-0.0192884,0.763634,-0.532034,0.134245,-0.340266,0,0
1297082176,0.0547152,-0.0111621,-0.0198222,0.747399,-0.547912,0.139781,-0.348781,0,0
1297089673,0.0543239,-0.0117845,-0.0201511,0.747084,-0.548184,0.139882,-0.348987,0,0
1297092987,0.054151,-0.0120597,-0.0202965,0.745442,-0.549603,0.140407,-0.350055,0,0
1297108409,0.0533462,-0.0133401,-0.0209732,0.742778,-0.551872,0.141155,-0.351844,0,0
1297114154,0.0530464,-0.013817,-0.0212253,0.740859,-0.553493,0.141691,-0.353124,0,0
1297121094,0.0526842,-0.0143932,-0.0215298,0.733804,-0.55866,0.143213,-0.359055,0,0
1297134555,0.0519818,-0.0155108,-0.0221204,0.726402,-0.563802,0.144112,-0.365651,0,0
1297143669,0.0515062,-0.0162675,-0.0225203,0.720946,-0.568405,0.145284,-0.368844,0,0
1297146187,0.0513748,-0.0164765,-0.0226308,0.720849,-0.568486,0.145305,-0.3689,0,0
1297164789,0.050404,-0.0180209,-0.023447,0.691638,-0.596086,0.152379,-0.378284,0,0
1297175101,0.0498659,-0.0188771,-0.0238994,0.68728,-0.600164,0.153724,-0.379234,0,0
1297177457,0.049743,-0.0190727,-0.0240028,0.673966,-0.613829,0.157172,-0.379842,0,0
1297183032,0.049452,-0.0195355,-0.0242474,0.653834,-0.633596,0.162157,-0.380477,0,0
1297186791,0.0492559,-0.0198476,-0.0244123,0.650973,-0.636354,0.162926,-0.380451,0,0
1297196933,0.0487266,-0.0206896,-0.0248573,0.629409,-0.656634,0.168632,-0.379789,0,0
1297206658,0.0482191,-0.021497,-0.025284,0.599211,-0.683643,0.176378,-0.377451,0,0
1297212638,0.0479071,-0.0219935,-0.0255464,0.597695,-0.684946,0.17674,-0.377322,0,0
1297226735,0.0471714,-0.0231639,-0.026165,0.560428,-0.716003,0.185121,-0.372813,0,0
1297233864,0.0651386,0.0104022,0.000100066,0.530179,-0.74014,0.190716,-0.367057,0,0
1297245444,0.0651002,0.0105024,0.000428958,0.525349,-0.743829,0.191568,-0.366099,0,0
1297248885,0.0650888,0.0105322,0.000526688,0.509102,-0.755845,0.193857,-0.363226,0,0
1297252481,0.0650769,0.0105633,0.000628821,0.504725,-0.759005,0.194459,-0.362423,0,0
1297257140,0.0650615,0.0106036,0.000761144,0.446369,-0.79861,0.199998,-0.350681,0,0
1297265280,0.0650345,0.010674,0.000992334,0.441504,-0.801696,0.200369,-0.349586,0,0
1297282216,0.0649784,0.0108205,0.00147335,0.438351,-0.80369,0.200551,-0.348868,0,0
1297284829,0.0649697,0.0108431,0.00154756,0.421265,-0.814569,0.20154,-0.344085,0,0
1297304198,0.0649056,0.0110107,0.00209767,0.382009,-0.837956,0.202684,-0.332893,0,0
