timestamp_us,yaw_err,pitch_err,roll_err,curr_yaw,curr_pitch,curr_roll,target_yaw,target_pitch,target_roll,att_0,att_1,att_2,U1,U2,U3,U4,n0,n1,n2,n3
27644445861,-0.00637592,0.000500487,0.00259729,0.00637592,-0.000500487,-0.00259729,0,0,0,0.00908214,0.00174259,-0.00637594,2.88628,0.00076052,0.000145921,-0.000533909,0.72151,0.722085,0.721364,0.721324
27644453645,-0.00641338,0.00189539,0.0032007,0.00641338,-0.00189539,-0.0032007,0,0,0,0.0112068,0.00664396,-0.0064134,2.88628,0.000938437,0.000556352,-0.000537045,0.721715,0.722174,0.721158,0.721236
27644461655,-0.00644727,0.000416883,0.0023954,0.00644727,-0.000416883,-0.0023954,0,0,0,0.00837808,0.00144837,-0.00644729,2.88628,0.000701564,0.000121284,-0.000539884,0.721497,0.722057,0.721375,0.721355
27644469653,-0.00648448,0.00099868,0.000872417,0.00648448,-0.00099868,-0.000872417,0,0,0,0.00304242,0.0034996,-0.0064845,2.88628,0.000254766,0.000293049,-0.000542999,0.721582,0.721834,0.721289,0.721579
27644477632,-0.00652108,0.00126218,-0.000735627,0.00652108,-0.00126218,0.000735627,0,0,0,-0.00258635,0.00441952,-0.0065211,2.88628,-0.000216576,0.000370082,-0.000546064,0.721619,0.721599,0.721249,0.721816
27644485610,-0.00655715,0.000618035,0.000721433,0.00655715,-0.000618035,-0.000721433,0,0,0,0.00253558,0.00215845,-0.00655717,2.88628,0.000212325,0.000180745,-0.000549085,0.721524,0.721814,0.721343,0.721602
27644493568,-0.00659499,0.000746166,-0.000896472,0.00659499,-0.000746166,0.000896472,0,0,0,-0.00314938,0.00261251,-0.00659501,2.88628,-0.000263723,0.000218767,-0.000552253,0.721542,0.721577,0.721323,0.721841
27644501454,-0.00663163,0.000705087,0.000686724,0.00663163,-0.000705087,-0.000686724,0,0,0,0.00241501,0.00246751,-0.00663165,2.88628,0.000202228,0.000206624,-0.000555321,0.721535,0.721811,0.721329,0.721609
27644509718,-0.00666834,0.000743266,0.00226282,0.00666834,-0.000743266,-0.00226282,0,0,0,0.0079313,0.00260171,-0.00666836,2.88628,0.000664152,0.000217862,-0.000558395,0.72154,0.722043,0.721322,0.721378
27644517657,-0.00670374,-7.71222e-05,0.00361517,0.00670374,7.71222e-05,-0.00361517,0,0,0,0.0126629,-0.000275875,-0.00670376,2.88628,0.00106037,-2.31013e-05,-0.00056136,0.721419,0.722241,0.721442,0.721181
27644576723,-0.00674331,0.000736811,0.00220681,0.00674331,-0.000736811,-0.00220681,0,0,0,0.00771362,0.00258474,-0.00674333,2.88628,0.000645924,0.000216441,-0.000564673,0.721538,0.722035,0.721322,0.721389
27644584613,-0.00678068,0.000889335,0.00373626,0.00678068,-0.000889335,-0.00373626,0,0,0,0.013088,0.00311378,-0.00678069,2.88628,0.00109596,0.000260742,-0.000567802,0.721559,0.722261,0.721299,0.721165
27644592724,-0.00681844,0.00136736,0.00215504,0.00681844,-0.00136736,-0.00215504,0,0,0,0.00753119,0.00478921,-0.00681845,2.88628,0.000630647,0.000401039,-0.000570964,0.721629,0.722029,0.721228,0.721398
27644600501,-0.00685549,0.000920447,0.00363166,0.00685549,-0.000920447,-0.00363166,0,0,0,0.0127215,0.00321832,-0.00685551,2.88628,0.00106528,0.000269496,-0.000574067,0.721562,0.722247,0.721293,0.721182
27644608781,-0.00689354,0.00137142,0.00204194,0.00689354,-0.00137142,-0.00204194,0,0,0,0.00713527,0.00480325,-0.00689356,2.88628,0.000597494,0.000402215,-0.000577253,0.721628,0.722014,0.721225,0.721416
27644616610,-0.00692959,0.000396069,0.00329025,0.00692959,-0.000396069,-0.00329025,0,0,0,0.0115249,0.00137917,-0.00692961,2.88628,0.000965076,0.000115489,-0.000580272,0.721484,0.722199,0.721368,0.721233
27644624501,-0.00696793,0.000883617,0.00172451,0.00696793,-0.000883617,-0.00172451,0,0,0,0.00602444,0.00309619,-0.00696795,2.88628,0.000504475,0.000259269,-0.000583482,0.721555,0.721969,0.721295,0.721465
27644632574,-0.00700589,0.00200222,0.000571329,0.00700589,-0.00200222,-0.000571329,0,0,0,0.00199129,0.00701588,-0.0070059,2.88628,0.000166747,0.000587496,-0.000586661,0.721718,0.721801,0.72113,0.721634
27644640472,-0.00704171,0.000727248,0.00154471,0.00704171,-0.000727248,-0.00154471,0,0,0,0.00541353,0.00253612,-0.00704173,2.88628,0.000453318,0.00021237,-0.000589661,0.72153,0.721945,0.721317,0.721492
27644648445,-0.00707667,-0.000900427,0.00140435,0.00707667,0.000900427,-0.00140435,0,0,0,0.00491422,-0.0031633,-0.00707669,2.88628,0.000411507,-0.000264888,-0.000592588,0.72129,0.721925,0.721555,0.721513
27644656782,-0.00711496,0.000665488,0.00157352,0.00711496,-0.000665488,-0.00157352,0,0,0,0.00550853,0.00234056,-0.00711498,2.88628,0.000461274,0.000195994,-0.000595795,0.72152,0.72195,0.721324,0.721489
27644664629,-0.00715197,0.00136092,0.00298532,0.00715197,-0.00136092,-0.00298532,0,0,0,0.0104589,0.00476825,-0.00715199,2.88628,0.000875804,0.000399284,-0.000598894,0.721621,0.722159,0.721222,0.721283
27644672710,-0.00718711,0.0006495,0.00151584,0.00718711,-0.0006495,-0.00151584,0,0,0,0.00529477,0.00226809,-0.00718712,2.88628,0.000443374,0.000189926,-0.000601836,0.721515,0.721943,0.721325,0.7215
27644732069,-0.00722432,0.00153293,0.00279903,0.00722432,-0.00153293,-0.00279903,0,0,0,0.0098059,0.00537166,-0.00722434,2.88628,0.000821127,0.000449813,-0.000604952,0.721645,0.722133,0.721195,0.721312
27644739964,-0.00725896,0.00107416,0.00121239,0.00725896,-0.00107416,-0.00121239,0,0,0,0.00423188,0.00375624,-0.00725897,2.88628,0.000354369,0.00031454,-0.000607852,0.721576,0.7219,0.721262,0.721546
27644747934,-0.00729516,0.00150921,0.00269036,0.00729516,-0.00150921,-0.00269036,0,0,0,0.00942699,0.00528538,-0.00729517,2.88628,0.000789398,0.000442588,-0.000610884,0.721639,0.722118,0.721197,0.721329
27644756239,-0.0073286,0.000181169,0.00167747,0.0073286,-0.000181169,-0.00167747,0,0,0,0.00586381,0.000624464,-0.00732862,2.88628,0.000491024,5.22914e-05,-0.000613685,0.721444,0.72197,0.721391,0.721479
27644763979,-0.00736376,0.00089417,0.00302653,0.00736376,-0.00089417,-0.00302653,0,0,0,0.0106026,0.00313476,-0.00736378,2.88628,0.000887843,0.000262499,-0.000616629,0.721548,0.722169,0.721285,0.721281
27644771841,-0.00739722,0.000367667,0.0044832,0.00739722,-0.000367667,-0.0044832,0,0,0,0.0157018,0.00128302,-0.00739724,2.88628,0.00131484,0.000107437,-0.00061943,0.72147,0.722383,0.721362,0.721068
