time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
1.82,0.999958,-0.00896206,0.00133369,-0.00167644,-0.00261269,-0.000564521,-0.000657788,0.0711484,0.0160629,0.0535593,0.0114473,0.0295495,0.105031,31.3764,-0.0136825,0.0127044,0.0169999
1.84,0.999958,-0.00894077,0.0013396,-0.00168171,0.00524364,0.000101274,-0.000258308,0.0712561,0.0160824,0.0536894,0.0110326,0.029839,0.10527,35.0605,-0.0271545,0.0106124,0.0463329
1.86,0.999958,-0.0089367,0.00134467,-0.00168461,0.00164837,0.00116654,-0.000657781,0.0713077,0.0161015,0.0537899,0.0108417,0.0299788,0.105261,32.2548,-0.0194111,-0.00478468,-0.00617659
1.88,0.999958,-0.00893959,0.00135431,-0.00168721,5.04729e-05,0.000900221,0.000673798,0.0714102,0.016155,0.0540543,0.0107548,0.0300907,0.105141,35.6652,-0.00458553,-0.00342608,0.158916
1.9,0.999958,-0.00895093,0.0013373,-0.00167195,0.000314349,-0.00269461,0.00187223,0.071751,0.01615,0.0543606,0.0107863,0.0289373,0.106142,35.9811,-0.00437504,-0.00455934,-0.0634237
1.92,0.999958,-0.00894962,0.00131869,-0.00165912,0.00124401,-0.00189445,-0.000790917,0.0718826,0.0161033,0.054474,0.010975,0.0286028,0.106193,33.3006,-0.023119,0.0109695,0.00137069
1.94,0.999958,-0.00895798,0.00131854,-0.00166375,-0.00048753,-0.00056275,-0.00119011,0.0719713,0.0160994,0.0546633,0.010891,0.0291997,0.105927,37.1434,-0.00925029,0.00306834,0.0683941
1.96,0.999958,-0.00895247,0.00131416,-0.00166709,0.00204247,-0.00122854,-0.000790642,0.0720172,0.016108,0.0547913,0.0109776,0.0294467,0.105877,32.751,-0.0156174,-0.001917,-0.0502474
1.98,0.999956,-0.00911836,0.00131982,-0.00167484,0.00137431,0.00130183,-0.0043859,0.0722499,0.0161034,0.0547997,0.0109705,0.0321474,0.106149,36.7407,0.00175367,-0.00704552,-0.101794
2,0.999956,-0.0091475,0.00129953,-0.00168249,-0.0011557,-0.000562387,8.31645e-06,0.0724922,0.0161323,0.0551427,0.0112211,0.0288062,0.106584,36.8144,-0.0121221,0.00477848,-0.118507
2.02,0.999956,-0.00915356,0.00129991,-0.00168479,-0.000889385,-2.97537e-05,-0.000524316,0.072545,0.0161376,0.0552823,0.0114242,0.0283014,0.106651,32.8694,-0.00638734,0.00441246,0.0217188
2.04,0.999956,-0.00915794,0.00130239,-0.00168923,-0.000489913,0.000502878,-0.00105695,0.0726002,0.0161442,0.055444,0.0116859,0.0279192,0.106947,36.0023,-0.0358544,0.00973737,0.106397
2.06,0.999955,-0.00919649,0.00128088,-0.00168644,-9.31637e-05,-0.000695182,-0.000257992,0.0730032,0.0161385,0.0563867,0.0118705,0.0285017,0.107999,32.1488,-0.00196211,0.015092,0.0860505
2.08,0.999956,-0.00919428,0.00130205,-0.00168253,-0.000361961,0.00223551,0.000940442,0.0731561,0.0160638,0.0564533,0.0121608,0.0295628,0.107726,35.1,-0.0107835,-0.0163893,0.0715899
2.1,0.999955,-0.00920218,0.00130001,-0.00167607,0.000304839,-0.000960021,0.00133929,0.0732626,0.0160466,0.0566181,0.0120707,0.0292307,0.107752,33.8171,-0.0255254,0.0120425,0.175012
2.12,0.999956,-0.00918095,0.00131932,-0.00169286,0.00350064,0.000504718,0.00147244,0.0735512,0.0160718,0.0574307,0.0124649,0.0283255,0.108154,37.9175,-0.00436365,0.0153743,0.0301639
2.14,0.999955,-0.00919235,0.00132963,-0.00168789,-0.00155938,0.0027684,-0.000524923,0.0737891,0.0160934,0.0581713,0.0123169,0.0277686,0.108323,37.5013,-0.0273468,-0.00244339,0.121809
2.16,0.999955,-0.00920592,0.00133011,-0.00169148,-0.00129573,-0.000559944,0.000274045,0.0738956,0.0160403,0.0582375,0.0121848,0.0279656,0.108191,35.0383,-0.00748589,-0.0102689,0.0545028
2.18,0.999955,-0.00920889,0.00133321,-0.00169757,-9.73059e-05,0.000638476,-0.00145701,0.0739487,0.016023,0.0583072,0.0120005,0.0279595,0.108321,33.9198,-0.0245959,-6.70983e-05,-0.00969393
2.2,0.999955,-0.00922014,0.00134358,-0.00170105,0.000568474,0.00157058,-0.000524908,0.0741694,0.015997,0.0588182,0.0122555,0.0276385,0.108276,35.4588,-0.00628389,0.00978536,-0.0476202
