timestamp_us,px,py,pz,qw,qx,qy,qz
1263368212,0.0604274,-0.014053,-0.00743805,0.999942,-0.00198253,-0.00758444,-0.00741047
1263494170,0.0600732,-0.0143797,-0.0046556,0.999945,-0.00193929,-0.00739576,-0.00723404
1263687927,0.0599245,-0.0145126,-0.00351447,0.999946,-0.00192645,-0.00731862,-0.00717466
1263895092,0.0681261,-0.0104165,-0.0070703,0.999916,0.000703772,-0.0107846,-0.00714453
1264183187,0.0656315,-0.0160396,0.00161814,0.999922,-0.00123161,-0.00900004,-0.00856131
1264257572,0.065132,-0.0172287,0.00323249,0.999923,-0.00143065,-0.00886122,-0.00855817
1264300436,0.0708657,-0.0158153,-0.00738873,0.999877,0.000704079,-0.00943507,-0.0125402
1264336481,0.0682286,-0.0253755,-0.021142,0.999844,-0.010726,-0.0112524,-0.00836287
1264379183,0.0681543,-0.0260969,-0.0209669,0.999832,-0.0111869,-0.0119141,-0.00835714
1264461714,0.0714688,-0.023128,-0.00136366,0.999926,-0.00264612,-0.00920251,-0.00756048
1264523844,0.0755566,-0.00917594,-0.00701168,0.999879,0.00318875,-0.0109348,-0.0106241
1264602391,0.0756287,-0.00746161,-0.00680983,0.999881,0.00353342,-0.0107894,-0.0104729
1264743389,0.0679954,-0.00490059,-0.00715235,0.99991,0.00211348,-0.0104094,-0.00823322
1264893492,0.0650511,-0.011411,0.000514201,0.999911,-0.00340033,-0.00994936,-0.00824403
1265173079,0.0645743,-0.0124504,0.00268888,0.999911,-0.00357652,-0.00979964,-0.0082719
1265280097,0.0659737,-0.0153727,0.00330352,0.999924,-0.00195185,-0.0100098,-0.00688995
1265398991,0.0670325,-0.0134229,0.00404529,0.999924,-0.00143249,-0.0101555,-0.00684002
1265563458,0.0631483,-0.0171096,-0.00109262,0.999923,-0.00544118,-0.00865482,-0.00698512
1265716406,0.0653389,-0.0136991,-0.00379231,0.999921,-0.00335504,-0.00945887,-0.00761173
1265834625,0.0616201,-0.0247884,0.0104018,0.999958,-0.00279523,-0.00673809,-0.00549608
1266141903,0.0604672,-0.0114707,-0.0214778,0.999913,0.00030938,-0.0104972,-0.00792802
1266228800,0.0664791,-0.0147421,-0.0169568,0.99993,-0.000276533,-0.00958039,-0.0070043
1266302836,0.0697105,-0.0037043,-0.0104418,0.999915,0.00271895,-0.00947043,-0.00853754
1266363368,0.0699466,-0.0172751,-0.00286824,0.999868,-0.0089197,-0.0108526,-0.00811541
1266403028,0.0820226,-0.0181787,-0.0059676,0.999916,-0.00405508,-0.0102152,-0.00687663
1266467404,0.0856307,-0.0179987,-0.0112198,0.999911,-0.00396813,-0.0108277,-0.0067043
1266548700,0.0866033,-0.0180028,-0.0129213,0.999909,-0.00398678,-0.0110369,-0.00663905
1266678136,0.0735399,-0.00932796,-0.013813,0.999921,0.000260185,-0.00965512,-0.00806134
1266786689,0.0715641,-0.00980066,-0.0135101,0.999922,-0.000156121,-0.00952672,-0.00801421
1267044690,0.0708876,-0.00996926,-0.0134775,0.999923,-0.000294625,-0.00948851,-0.00799436
1267189623,0.065188,-0.0104073,-0.0130777,0.999909,-0.000527968,-0.00994504,-0.00911649
1267280059,0.065023,-0.00972893,-0.0118977,0.999913,-7.2501e-05,-0.00962862,-0.00898272
1267387086,0.06563,-0.0149964,0.00168014,0.999939,-0.00172204,-0.00848069,-0.00692501
1267498238,0.0631987,-0.0101014,0.0052408,0.999933,0.00155264,-0.00876993,-0.00733955
1267597063,0.0692476,-0.0103309,0.000972066,0.99991,0.00139295,-0.00908066,-0.00974051
1267712250,0.066161,-0.0123317,0.004194,0.999914,0.00123508,-0.00957771,-0.00886254
1267813391,0.0650265,-0.0122934,0.00512271,0.999917,0.00127786,-0.00938274,-0.00877399
1268062028,0.0648523,-0.0118814,0.00473516,0.999919,0.00114292,-0.0093625,-0.00850515
1268153846,0.070094,-0.0330613,-0.0525507,0.999786,-0.0130651,-0.0126451,-0.00989872
1268206818,0.0714829,-0.0355471,-0.0655109,0.999761,-0.0141729,-0.0133481,-0.00996658
1268281546,0.0694449,-0.0201909,-0.0255535,0.999915,-0.00230048,-0.0108207,-0.00689624
1268349917,0.0680321,-0.0174538,-0.0127916,0.999922,-0.000687444,-0.010381,-0.006878
1268451696,0.0700282,-0.016752,-0.00701982,0.999914,-0.00192282,-0.0098332,-0.00843402
1268534044,0.0712349,-0.0178503,-0.0102632,0.99991,-0.00230085,-0.00994728,-0.00867278
1268638892,0.0717853,-0.00847522,-0.0252848,0.99991,0.00122065,-0.0102416,-0.00852412
1268735380,0.0711333,-0.00796007,-0.0247582,0.999914,0.00101144,-0.0100509,-0.00837713
1268832086,0.076506,-0.0140035,0.00715838,0.999924,-0.00192236,-0.00992039,-0.00701198
1269064532,0.0707569,-0.010842,-0.00293692,0.999905,0.00146877,-0.0106073,-0.00865492
1269155904,0.0738932,-0.0102887,-0.0110251,0.9999,0.00155779,-0.0109128,-0.00888289
1269222584,0.0746672,-0.00968095,-0.0135609,0.999898,0.00173859,-0.0109486,-0.00903562
1269302558,0.0751638,-0.00942243,-0.0149154,0.999896,0.00181057,-0.0109911,-0.00911542
1269361257,0.0769662,-0.00812291,-0.0190103,0.999883,0.00233221,-0.0123387,-0.00868403
1269400829,0.0697918,-0.0248273,-0.00567376,0.999889,0.000906708,-0.0108038,-0.010211
1269418140,0.0794227,-0.0132571,-0.0381955,0.999877,-0.00307004,-0.0129269,-0.00829923
1269432220,0.0711801,-0.00731143,-0.0116085,0.999903,-7.25599e-05,-0.0105387,-0.00905827
1269467697,0.0755427,-0.00901791,-0.0227209,0.999894,3.13941e-05,-0.0118985,-0.00838975
1269528184,0.0676626,-0.0176438,0.00202205,0.999907,-0.00435829,-0.00919254,-0.00908643
1269611108,0.066765,-0.0197089,0.00781674,0.999915,-0.00434218,-0.00844532,-0.00898081
1269727709,0.0658564,-0.0252136,0.024209,0.999958,-0.00148369,-0.00717701,-0.005502
1269806408,0.0624688,-0.0184241,0.0109729,0.999978,0.00189479,-0.00506875,-0.00395094
1269990208,0.0641162,-0.0180574,0.00658673,0.999973,0.00178081,-0.00590555,-0.00405352
1270085701,0.0701915,-0.00845261,-0.0314633,0.999917,0.000139449,-0.0105846,-0.00736101
1270210251,0.066942,-0.0137379,-0.00774275,0.999937,0.000276971,-0.00882647,-0.00694726
1270272362,0.069639,-0.0174688,-0.0269495,0.99991,-0.00130585,-0.00981365,-0.00905616
1270328490,0.0727095,-0.0181183,-0.0202571,0.999902,-0.00201859,-0.0101688,-0.00942577
1270364496,0.0766968,-0.0215051,-0.0311566,0.999873,-0.00157869,-0.0145514,-0.00630788
1270407607,0.0785998,-0.0212905,-0.0176541,0.999887,-0.00222427,-0.0122073,-0.00846061
1270608457,0.0705102,-0.0180369,-0.00750626,0.999933,-0.00150364,-0.00899686,-0.00707313
1270720307,0.0719622,-0.0129334,-0.00496871,0.999915,0.00106402,-0.00894218,-0.00942157
1270852228,0.0667882,-0.0147868,0.00398498,0.999922,-0.000773419,-0.00812824,-0.00949071
1271176320,0.0704615,-0.012862,-0.00526789,0.999922,-0.000670561,-0.00919234,-0.00844495
1271238306,0.0721873,-0.0130182,-0.00913599,0.999917,-0.000870613,-0.00965103,-0.00844103
1271294646,0.0712691,-0.0193688,-0.0339547,0.999897,-0.0074164,-0.00848145,-0.00892716
1271346526,0.0687409,-0.0240204,-0.0284907,0.999893,-0.00567956,-0.00983055,-0.00923238
1271407810,0.0689447,-0.0194568,-0.0196622,0.999914,-0.00464792,-0.00733788,-0.00981633
1271467673,0.0714601,-0.0276514,-0.00502503,0.999874,-0.00967271,-0.00907374,-0.00873812
1271539582,0.073161,-0.0283911,0.000703748,0.999872,-0.0095921,-0.0092786,-0.00887683
1271675703,0.0690909,-0.0146841,0.00967205,0.999921,-0.00129287,-0.00717056,-0.0102301
1271801628,0.0699873,-0.0212679,0.00963901,0.999867,-0.00630945,-0.00818106,-0.0126256
1272040512,0.0779398,-0.00941013,-0.00156658,0.99989,0.000721875,-0.0103989,-0.0105084
1272101226,0.0796973,-0.00653051,-0.00602324,0.999885,0.00147498,-0.0108613,-0.0105022
1272164553,0.0808268,-0.00533123,-0.00875014,0.999881,0.00176852,-0.0111453,-0.0104962
1272234301,0.0815287,-0.00557982,-0.00935568,0.99988,0.0015964,-0.0113241,-0.0104701
1272303593,0.0737071,-0.0101129,0.0270526,0.99992,-0.000803753,-0.0103019,-0.00733853
1272320230,0.068788,-0.0148062,0.0355989,0.999934,-0.000639873,-0.00905215,-0.00709054
