timestamp_us,qw,qx,qy,qz,avx,avy,avz,ax,ay,az
386870511,-0.214112,-0.00100317,0.000924284,-0.976808,-0.00813017,0.03305,-0.00218708,0.0573582,-0.0411468,0.0399074
386878417,-0.214104,-0.00171345,0.00135429,-0.976809,-0.0136892,0.00100556,-0.00222806,0.0675329,-0.0280926,0.0372766
386886505,-0.214096,-0.0021962,0.000869594,-0.97681,-0.00297077,-0.0373192,-0.00234387,0.0503965,0.0208673,-0.000784694
386894573,-0.214089,-0.00198897,6.34936e-05,-0.976812,-0.000366938,-0.0581982,-0.00246322,0.0216342,0.110331,0.00422402
386902515,-0.21408,-0.00214564,-0.000604177,-0.976814,-0.00564637,-0.066027,-0.00260547,0.0558695,0.054056,0.036317
386910790,-0.214071,-0.00126502,-0.0012764,-0.976816,0.0154667,-0.0880465,-0.00286336,0.00047829,0.019023,-0.0123127
386918550,-0.21406,-0.000622852,-0.000644063,-0.97682,0.0183244,-0.0714611,-0.00273649,0.0230053,-0.00601037,0.0411274
386926523,-0.214049,-0.000715402,3.49249e-05,-0.976823,0.0157062,-0.0483194,-0.00269671,0.0526962,-0.0814842,0.058543
386934432,-0.214038,-0.000256653,0.000654931,-0.976825,0.0291306,-0.0406755,-0.00274548,-0.00864096,-0.0864199,0.0280638
386942520,-0.214026,0.000598914,0.000529043,-0.976828,0.0282713,-0.0147523,-0.0027807,-0.0820197,-0.00874487,0.0299731
387057419,-0.214014,0.00144769,0.000157133,-0.976829,0.041026,-0.020228,-0.00266184,-0.0610431,0.0106443,-0.0281414
387065369,-0.214003,0.00227404,-2.25488e-05,-0.97683,0.0289682,-0.00801805,-0.00270722,0.000645312,-0.00610126,0.0166612
387073321,-0.213993,0.00184791,0.000464809,-0.976833,0.0337912,-0.0198265,-0.00271463,0.0659855,-0.0620928,0.000459809
387081562,-0.213982,0.00125812,-4.83078e-05,-0.976837,0.027061,-0.0264317,-0.00284841,0.0377582,0.00469246,0.000759635
387089348,-0.213971,0.000586095,0.000108661,-0.97684,0.00664014,-0.0270258,-0.00288825,0.0866878,-0.0189621,0.0247678
