timestamp_us,px,py,pz,qw,qx,qy,qz
245317427,-0.0322521,-0.00211708,1.03683,0.996752,-0.00450572,-0.00314567,-0.0803407
245514468,-0.0339861,-0.00436687,1.03676,0.996772,-0.00436144,-0.00347488,-0.080094
245656094,-0.0331307,-0.00571523,1.03573,0.996779,-0.00435972,-0.0051257,-0.0799158
245805206,-0.0340852,-0.00721091,1.03613,0.996794,-0.00421774,-0.00415121,-0.0797915
246018256,-0.0355636,-0.00877072,1.03644,0.996807,-0.00359728,-0.00314637,-0.0797011
246167191,-0.0361729,-0.00900485,1.03338,0.996818,-0.00299107,-0.00255219,-0.0796097
246354815,-0.0369394,-0.011474,1.03676,0.996797,-0.0040015,-0.00467707,-0.0797404
246494373,-0.0384911,-0.0116395,1.03664,0.9968,-0.00434314,-0.00331908,-0.0797466
246656975,-0.0383514,-0.012227,1.03809,0.996806,-0.00452311,-0.00450893,-0.0795992
246845777,-0.0386497,-0.0122236,1.04243,0.996815,-0.0033338,-0.00222854,-0.0796528
247026329,-0.0400485,-0.0140214,1.04489,0.99684,-0.00262857,0.0015021,-0.0793719
247188292,-0.0399874,-0.0145591,1.04658,0.996835,-0.00351477,7.48612e-05,-0.0794167
247365436,-0.0389672,-0.0152872,1.05007,0.996841,-0.00453845,-0.00143934,-0.0792827
247523752,-0.0377539,-0.0157036,1.05055,0.996823,-0.0039866,-4.24664e-05,-0.0795441
247665781,-0.0359706,-0.0165267,1.05027,0.996826,-0.00319555,0.000931822,-0.0795435
247815360,-0.0337238,-0.0174827,1.05373,0.99682,-0.00353735,0.000362005,-0.0796056
248036928,-0.0282929,-0.0228436,1.05223,0.996786,-0.00572035,-0.00435056,-0.0797922
248174517,-0.0262173,-0.0225274,1.04738,0.996783,-0.00531536,-0.00516496,-0.0798054
248369503,-0.0239531,-0.0249557,1.04612,0.996786,-0.00432604,-0.00523787,-0.0798228
248505648,-0.0227593,-0.0265217,1.05281,0.996787,-0.00398843,-0.00417007,-0.0798899
248666065,-0.0217654,-0.0262163,1.05039,0.996781,-0.00550272,-0.0054108,-0.0798055
248837424,-0.0178507,-0.027774,1.0465,0.996764,-0.00652542,-0.00714638,-0.0797964
248994254,-0.0173017,-0.0272553,1.05237,0.996787,-0.00583809,-0.00502823,-0.0797306
249185683,-0.0174175,-0.0269226,1.04862,0.996806,-0.00634809,-0.0049463,-0.0794549
249339090,-0.0176172,-0.0232836,1.04926,0.996783,-0.005407,-0.00497037,-0.0798049
249496813,-0.0184136,-0.0209938,1.05264,0.996806,-0.0047668,-0.00299099,-0.0796569
249705038,-0.0187769,-0.0180335,1.05774,0.996811,-0.00553479,-0.00560703,-0.0794033
249875467,-0.0194456,-0.0172805,1.05436,0.996815,-0.00477125,-0.00215173,-0.0795734
250065791,-0.0197261,-0.0177515,1.05124,0.996832,-0.00421487,-0.0018118,-0.0793985
250187931,-0.0189461,-0.0178466,1.0405,0.996809,-0.00522689,-0.00426022,-0.0795347
250360839,-0.0197094,-0.0155611,1.042,0.996836,-0.00495183,-0.00356748,-0.0792479
