time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
1.26,0.999798,-0.0169408,-0.00159647,-0.0107039,-0.00634365,-0.0358936,0.00351443,0.0294477,0.0664885,0.0336213,0.0170261,0.083522,-0.00164722,38.8263,-0.0629786,0.035302,0.243511
1.28,0.999804,-0.0169178,-0.00143596,-0.0101438,0.00565539,0.030491,0.0434708,0.0293214,0.0662521,0.0338082,0.00664787,0.0802255,-0.00660653,34.8958,-0.0559027,0.000903627,0.143298
1.3,0.999805,-0.0170022,-0.00112319,-0.00996982,-0.00599573,0.0342257,0.00277595,0.0289889,0.0655901,0.0340205,-0.000252379,0.0774651,-0.00466467,37.4076,-0.0206637,0.0267175,0.30358
1.32,0.999802,-0.0170792,-0.000655387,-0.0101831,0.0158853,0.0674333,-0.0313966,0.0286174,0.0650195,0.034209,-0.000846794,0.0777401,-0.00621352,38.4372,-0.0537832,-0.0137565,0.0390064
1.34,0.999801,-0.0170576,-0.000242813,-0.0103642,0.0101698,0.040687,-0.00832545,0.0283013,0.0646024,0.0343823,0.00278009,0.080997,-0.00369068,33.3118,-0.0235804,0.00779496,0.283688
1.36,0.999802,-0.0171069,-7.96852e-05,-0.0102097,0.00523623,0.0244263,0.0269066,0.0281228,0.0644831,0.0345463,0.0106452,0.0844532,-0.00217977,35.5008,-0.0517637,0.0218866,0.155612
1.38,0.999808,-0.017055,-0.000161466,-0.00967365,0.00622203,-0.02746,0.0332048,0.0280514,0.0640744,0.0348858,0.01801,0.084662,-0.00224289,36.201,-0.0375998,0.0221101,0.182902
1.4,0.999809,-0.017051,-0.000403907,-0.00949786,0.0171121,-0.0314218,0.00947944,0.0280621,0.0635689,0.0351802,0.0204339,0.0823857,-0.00136904,33.8888,-0.0415906,0.020763,0.180098
1.42,0.99981,-0.0170129,-0.000644923,-0.00947073,0.0202515,-0.0308663,0.00563247,0.0281203,0.0631317,0.0354601,0.020513,0.0798695,-0.00126417,34.2965,-0.0319717,0.00961319,0.196656
1.44,0.99981,-0.0170557,-0.000900364,-0.00944813,0.00692335,-0.0184691,0.00396512,0.0281822,0.0627674,0.0357256,0.0183965,0.0781516,-0.00173016,41.2816,-0.0424847,0.0097583,-0.0913967
1.46,0.99981,-0.017147,-0.000970146,-0.00919929,-0.0123028,-0.000572324,0.0213683,0.0282449,0.0625227,0.0360348,0.0129828,0.0796514,-0.00463363,33.8013,-0.0316597,0.0209295,0.146442
1.48,0.999811,-0.0171889,-0.000846479,-0.00906421,-0.000377502,0.0129835,0.00987179,0.0281525,0.0621393,0.0362769,0.00952587,0.0801476,-0.00461846,35.7222,-0.0442998,-0.030264,0.229712
1.5,0.999811,-0.0171811,-0.000606996,-0.00912444,0.00709781,0.0242406,-0.00665951,0.0279877,0.061579,0.0365411,0.00822151,0.0798958,-0.00443549,36.1183,-0.0363841,0.00347682,0.0320906
1.52,0.999811,-0.017119,-0.00040718,-0.00921831,0.0207596,0.0113445,-0.00651742,0.027848,0.061127,0.0367895,0.00955558,0.07811,-0.00344772,37.2151,-0.0381456,0.00895912,0.00852596
1.54,0.999813,-0.0170349,-0.000346538,-0.00917443,0.0247557,-0.000132312,0.00927999,0.0277648,0.0607219,0.0370388,0.0119227,0.0726771,-0.00209421,34.7351,-0.0231331,0.0102154,0.458344
1.56,0.999812,-0.0171366,-0.000441125,-0.00909725,-0.0199191,-0.0132033,-0.00812813,0.0277657,0.0601281,0.0373923,0.0160499,0.0663849,-0.00137853,38.3707,-0.0455423,0.0146089,0.208668
1.58,0.99981,-0.0171751,-0.000578825,-0.00916002,-0.00995329,-0.0228075,-0.00560633,0.0278127,0.0595696,0.0376706,0.0168379,0.0662694,-0.00264174,36.8991,-0.0325385,0.0307528,0.110792
1.6,0.999809,-0.0171996,-0.000693867,-0.0092555,-0.00812363,-0.0164722,-0.0112315,0.0278405,0.0588059,0.0379516,0.0164352,0.0689878,-0.00400275,39.5375,-0.0339881,0.0123019,0.167501
1.62,0.999809,-0.0171887,-0.000798617,-0.00929258,-0.000271029,-0.0109733,-0.000463793,0.0278624,0.0581425,0.0381404,0.0152325,0.069725,-0.00567312,31.4378,-0.00152322,0.0152864,0.331288
1.64,0.99981,-0.0171777,-0.000860005,-0.00921012,-0.0194283,0.000647021,0.0124071,0.027882,0.0573231,0.0383635,0.0130373,0.0670949,-0.00687393,37.687,-0.0323903,0.0168291,0.265403
1.66,0.999809,-0.0171988,-0.000833551,-0.00922796,-0.016379,0.00149696,-0.00776273,0.0278815,0.0568425,0.0384953,0.0119208,0.0641346,-0.00754676,35.2144,-0.0331996,0.0152343,0.194434
1.68,0.999808,-0.0172397,-0.000747215,-0.00924249,-0.0174284,0.0110489,-0.0041102,0.027862,0.0561075,0.0386133,0.0116234,0.0630243,-0.00771145,39.1753,-0.0233914,-0.00302129,0.376883
1.7,0.999807,-0.0173189,-0.000625448,-0.00926481,-0.0180857,0.00678447,-0.000315604,0.027832,0.055167,0.0387139,0.011661,0.0632678,-0.00805683,35.3024,-0.0501765,0.0163032,0.256985
1.72,0.999807,-0.0173586,-0.000487273,-0.00922863,0.0070842,0.0104456,0.00371373,0.0278459,0.0540003,0.0388462,0.0128967,0.063073,-0.00421468,35.1928,-0.0308903,0.00849803,0.342467
1.74,0.999806,-0.0173951,-0.000478827,-0.00921635,-0.0064225,0.00618582,-0.000300446,0.027909,0.0533682,0.0389194,0.0144482,0.0629662,-0.00338667,37.6058,-0.0193689,0.0290911,0.301533
1.76,0.999806,-0.0174122,-0.000528662,-0.00922282,-0.0146699,-0.00291395,-0.00016471,0.0280411,0.0529156,0.0389789,0.0168898,0.0627002,-0.00620243,34.6019,-0.01093,0.00459255,0.278709
